category,title,location,regular_price,discount_price,disc_amt,summary,link
spas,Laser Lipo of Utah,"12637 South 265 West STE 100B, Draper",665.0,89.0,13,Two Laser Lipo Treatments,https://www.groupon.com/deals/lipo-laser-at-laser-lipo-of-utah-1?deal_option=e8ef4886-7f77-4eb3-896a-50f92888d7c3
tanning,Lehi Utah Airbrush Tanning,"2300 West 300 North, Lehi",60.0,29.0,48,One Custom Airbrush Tanning,https://www.groupon.com/deals/endless-glow-airbrush-tanning-by-jilene-2?deal_option=d9a880f3-6732-4ab4-b25c-009dcc3a589b
fitness,Lila Studio,"967 East 2100 South, Salt Lake City",80.0,24.8,31,5 Class Pass,https://www.groupon.com/deals/avenues-yoga-1?deal_option=b67e06ee-8f56-4392-bf31-fd47450fead2
natural,Lowry Health & Wellness/the Chiropractor,"559 West State Street, Pleasant Grove",100.0,35.0,35,Acupuncture,https://www.groupon.com/deals/lowry-health-wellness-the-chiropractor
restaurants,Maize Tacos,"135 Regent Street, Salt Lake City",20.0,14.0,70,$20 Toward Food and Drink; Valid for Dine-in or Takeout Any Day,https://www.groupon.com/deals/maize-tacos?deal_option=6472ef1e-1d80-48ea-a653-7389a7ec8ac3
sightseeing,Moab Giants,"Moab, Moab",14.96,11.0,73,Dino Pass Admission for One Youth (Ages 4–15),https://www.groupon.com/deals/moab-giants-1?deal_option=63e05ac0-a055-4fc3-be0a-489ef5704ea2
tickets,Moab Giants,"Moab, Moab",14.96,11.0,73,Dino Pass Admission for One Youth (Ages 4–15),https://www.groupon.com/deals/moab-giants-1?deal_option=63e05ac0-a055-4fc3-be0a-489ef5704ea2
sports,Momentum Indoor Climbing,"401 South 850 East, Lehi",39.0,29.0,74,Two Week Trial Membership,https://www.groupon.com/deals/momentum-indoor-climbing-lehi-1?deal_option=814f41d7-38da-47db-9dbd-9dca9a60cf9c
kids,Momentum Indoor Climbing,"401 South 850 East, Lehi",39.0,29.0,74,Two Week Trial Membership,https://www.groupon.com/deals/momentum-indoor-climbing-lehi-1?deal_option=814f41d7-38da-47db-9dbd-9dca9a60cf9c
fun,Mountain West Hard Cider,"425 North 400 West, Salt Lake City",20.0,15.0,75,Educational Cider Tour and Take-Away Glassware for Two People,https://www.groupon.com/deals/mountain-west-hard-cider-1?deal_option=465f5807-c12f-4eb6-a9b0-7df29f9be70c
nail,Nails_by.tiffany,"13226 S 5600 W, Harriman",45.0,34.65,77,Gel manicure,https://www.groupon.com/deals/nails-by-tiffany-1?deal_option=74b4280c-3f04-4d29-aaf1-26b4c226dfdc
nail,New Lengths Beauty Co.,"1857 North Hill Field Road, Layton",20.0,13.0,65,One Gel Polish,https://www.groupon.com/deals/new-lengths-beauty-co-53?deal_option=3784a3c1-764d-4071-8c1c-0216335d626f
spas,NuMed Clinic,"1429 South State Street, Orem",180.0,125.0,69,20 Units of Xeomin,https://www.groupon.com/deals/numed-clinic-9?deal_option=26bf7ebb-247a-4c41-a506-9dc6bd82f78d
dental,Oral Design Dental,"4802 South Holladay Boulevard, Salt Lake City",205.0,35.0,17,One Teeth-Cleaning Session; Restrictions Apply,https://www.groupon.com/deals/oral-design-dental-3-7?deal_option=7fcaaabd-6938-424f-8230-43330c84eec9
dental,Oral Design Dental,"4802 South Holladay Boulevard, Salt Lake City",216.0,35.0,16,Denture Services,https://www.groupon.com/deals/oral-design-dental-2-6
fun,Outlaw Distillery,"552 West 8360 Street, Midvale",50.0,30.0,60,Distillery Tour for Two with Two Shot Glasses,https://www.groupon.com/deals/outlaw-distillery-2?deal_option=a3dd1d15-550a-412f-a98b-90234593ed98
nail,Pixie Beauty Bar,"7378 Plaza Center Drive, West Jordan",20.0,7.0,35,Add on Nail Art,https://www.groupon.com/deals/pixie-beauty-bar-1?deal_option=f4178499-4d0a-4a49-9ac0-a52440aac02d
dental,Platinum Dental Care,"1963 S 1200 E, Salt Lake City",135.0,28.0,20,Dental Services,https://www.groupon.com/deals/platinum-dental-care-1
medical,Pur Life Medical of Lehi,"610 South 850 East, Lehi",350.0,57.0,16,One IV Therapy Treatment,https://www.groupon.com/deals/pur-life-medical-of-lehi-2?deal_option=eed160ac-ef66-40e2-917a-a53f366f0ebf
restaurants,Ramen Legend,"2118 South Highland Drive, Salt Lake City",20.0,13.5,67,$20 Towards Food and Drinks; Valid Any Day for Dine-In or Takeout,https://www.groupon.com/deals/ramen-legend-1?deal_option=099ce8a9-35b3-4f4a-b087-86a4bc3deebf
spas,Rest and Relax Day Spa,"1245 East 8600 South, Sandy",45.0,41.0,91,One 60-Minute Therapeutic Apprentice Massage,https://www.groupon.com/deals/rest-and-relax-day-spa-2?deal_option=7a39aa5a-957b-4872-b50f-3a15519cb60d
weight,Restore Hyper Wellness + Cryotherapy,"121 East 12300 South, Draper",39.0,25.0,64,One PBM Light Therapy Treatment,https://www.groupon.com/deals/restore-hyper-wellness-plus-cryotherapy-mountain-west-draper-3?deal_option=05cfb660-d368-4b42-86cd-986c841db03b
natural,Restore Hyper Wellness + Cryotherapy,"121 East 12300 South, Draper",39.0,22.0,56,One Localized Cryotherapy Session,https://www.groupon.com/deals/restore-hyper-wellness-plus-cryotherapy-mountain-west-draper-2?deal_option=0bdff770-2e67-434d-9039-3ebf5986e9d3
natural,Restore Hyper Wellness + Cryotherapy,"1202 Wilmington Avenue, Salt Lake City",39.0,22.0,56,One Localized Cryotherapy Session,https://www.groupon.com/deals/sugarhouse-restore-hyper-wellness-cryotherapy-1?deal_option=69b9557d-1ae7-4558-985e-3bd0d89f9f78
spas,Revive Health and Chiropractic,"891 Baxter Drive, South Jordan",150.0,30.0,20,"Chiropractic Package, Including Consultation, Exam, Therapies, and Adjustment",https://www.groupon.com/deals/revive-health-and-chiropractic?deal_option=105cfdf0-98fe-44f8-8b86-3fae07c6ce38
nail,Salon by Design,"6216 State Street, Murray",55.0,25.0,45,One Spa Pedicure,https://www.groupon.com/deals/salon-by-design-8?deal_option=d79be085-b438-4d3f-80f2-059a4dfe2990
spas,Salon by Design,"6216 State Street, Murray",55.0,25.0,45,One Spa Pedicure,https://www.groupon.com/deals/salon-by-design-8?deal_option=d79be085-b438-4d3f-80f2-059a4dfe2990
spas,Salon by Design,"6216 State Street, Murray",55.0,35.0,63,"Women’s Haircut, Condition, and Style",https://www.groupon.com/deals/salon-by-design-9?deal_option=4723a955-5e43-4cb5-9a6e-17967f69cf60
kids,Scariff School of Irish dancing,"9854 South 700 East, Sandy",140.0,14.0,10,Kids Dance Classes,https://www.groupon.com/deals/scariff-school-of-irish-dancing-10
kids,SeaQuest Interactive Aquarium and Petting Zoo- Utah,"Layton Meadows, Layton",19.98,15.0,75,Admission For One,https://www.groupon.com/deals/seaquest-1?deal_option=5e2c0a0f-de23-4537-bd86-44231dd95fb5
